0.9720558882235529              precision    recall  f1-score   support

           0       0.95      1.00      0.98        42
           1       1.00      1.00      1.00        67
           2       0.96      0.96      0.96        55
           3       0.98      0.98      0.98        46
           4       0.98      0.96      0.97        55
           5       1.00      0.96      0.98        50
           6       0.98      0.95      0.96        43
           7       0.96      0.98      0.97        49
           8       0.93      0.97      0.95        40
           9       0.96      0.94      0.95        54

    accuracy                           0.97       501
   macro avg       0.97      0.97      0.97       501
weighted avg       0.97      0.97      0.97       501
